Time,Open,Close,High,Low,Amount,Volume
2023-03-11 19:50:00,1448.71,1450.15,1450.93,1448.11,62.3464955,90349.494162021
2023-03-11 19:55:00,1450.16,1448.99,1450.16,1447.93,54.4338614,78881.814172902
2023-03-11 20:00:00,1448.99,1450.93,1453.83,1448.99,85.8885427,124732.79252427
2023-03-11 20:05:00,1450.8,1450.41,1452.54,1450.23,56.4940857,81995.78983349
2023-03-11 20:10:00,1450.25,1450.35,1452.12,1450.18,93.4388073,135583.836067284
2023-03-11 20:15:00,1450.34,1451.38,1451.73,1449.75,90.9582943,131932.717338329
2023-03-11 20:20:00,1451.46,1454.64,1456.24,1451.46,198.4670339,288702.430789946
2023-03-11 20:25:00,1454.64,1454.56,1455.97,1453.31,113.4357553,164982.865240299
2023-03-11 20:30:00,1454.56,1462.67,1462.67,1454.56,440.2685724,642723.35174662
2023-03-11 20:35:00,1462.68,1466.55,1469.99,1462.06,490.6465439,718953.690688552
2023-03-11 20:40:00,1466.57,1467,1467.91,1464.31,133.6887595,195960.754105032
2023-03-11 20:45:00,1466.85,1463.52,1467.64,1460.28,215.7755948,315792.74713719
2023-03-11 20:50:00,1463.51,1464.88,1466.09,1462.38,166.5407247,243814.797518683
2023-03-11 20:55:00,1464.73,1465.99,1468,1464.73,77.1742119,113241.116869161
2023-03-11 21:00:00,1465.98,1465.16,1466.43,1463.56,87.9286486,128856.778893529
2023-03-11 21:05:00,1465.53,1463.5,1468.99,1463.17,156.0713976,228681.929528522
2023-03-11 21:10:00,1463.61,1461.72,1464.05,1461.61,66.772741,97669.914331133
2023-03-11 21:15:00,1461.93,1457.92,1462.07,1457.57,124.2679344,181322.748579939
2023-03-11 21:20:00,1457.92,1459.16,1460.05,1457.92,98.1113426,143169.410930796
2023-03-11 21:25:00,1459.05,1459.65,1460.68,1458.77,37.9515533,55394.539696665
2023-03-11 21:30:00,1459.65,1459.39,1460.51,1457.55,49.1396436,71712.089860642
2023-03-11 21:35:00,1459.19,1460.59,1461.3,1457.98,105.1894517,153578.940082349
2023-03-11 21:40:00,1460.59,1464.77,1465.19,1460.37,113.3547694,165793.263190343
2023-03-11 21:45:00,1464.77,1463.17,1465.06,1462.55,78.9570267,115562.871234911
2023-03-11 21:50:00,1463.18,1464.2,1464.87,1461.62,306.3935673,448181.475181358
2023-03-11 21:55:00,1464.4,1465.12,1465.27,1463.54,70.9640008,103912.666532736
2023-03-11 22:00:00,1465.12,1463.66,1465.3,1463.05,56.1331672,82172.009852733
2023-03-11 22:05:00,1463.67,1462.87,1464.34,1461.29,101.8002221,148908.146810986
2023-03-11 22:10:00,1462.86,1465.57,1467.25,1462.65,68.9311714,101018.184819304
2023-03-11 22:15:00,1465.58,1468.35,1468.99,1465.4,191.0752091,280327.14086056
2023-03-11 22:20:00,1468.35,1466.33,1468.47,1465.3,108.6864633,159389.681742197
2023-03-11 22:25:00,1466.32,1465.54,1467.32,1465.54,48.4681404,71070.230442544
2023-03-11 22:30:00,1465.53,1461.54,1465.88,1461.31,81.867525,119814.578812703
2023-03-11 22:35:00,1461.54,1459.83,1463.02,1459.81,43.3667429,63383.412565889
2023-03-11 22:40:00,1459.83,1459.27,1461.69,1458.01,129.4718148,188969.130578869
2023-03-11 22:45:00,1459.27,1460.39,1460.39,1457.72,29.5976431,43179.598149803
2023-03-11 22:50:00,1460.4,1460.38,1461.65,1458.04,51.5636292,75268.213923713
2023-03-11 22:55:00,1460.38,1459.71,1461.28,1458.61,44.7030743,65292.054637583
2023-03-11 23:00:00,1459.71,1461.79,1463.28,1459.7,49.7424345,72688.473099479
2023-03-11 23:05:00,1461.79,1461.08,1463.31,1460.01,52.8969274,77348.399822765
